event_type,time_to_recover,event_timing,team
tactical_shifts,5.376,before event,France
tactical_shifts,7.401,before event,Argentina
tactical_shifts,188.97,before event,Argentina
tactical_shifts,60.442,after event,Argentina
tactical_shifts,4.336,after event,France
injuries,81.203,before event,Denmark
injuries,46.318,before event,Denmark
injuries,11.415,before event,Denmark
injuries,49.304,before event,France
injuries,254.288,before event,Denmark
injuries,2.492,after event,Denmark
injuries,19.665,after event,Denmark
injuries,60.636,after event,Denmark
injuries,81.203,before event,Denmark
injuries,46.318,before event,Denmark
injuries,11.415,before event,Denmark
injuries,49.304,before event,France
injuries,254.288,before event,Denmark
injuries,2.492,after event,Denmark
injuries,19.665,after event,Denmark
injuries,60.636,after event,Denmark
injuries,126.282,before event,France
injuries,40.915,before event,France
injuries,53.421,before event,France
injuries,21.166,before event,France
injuries,294.755,before event,France
injuries,126.282,before event,France
injuries,40.915,before event,France
injuries,53.421,before event,France
injuries,21.166,before event,France
injuries,294.755,before event,France
injuries,40.885,before event,Australia
injuries,12.932,after event,France
injuries,36.653,after event,France
injuries,77.966,after event,France
injuries,40.885,before event,Australia
injuries,12.932,after event,France
injuries,36.653,after event,France
injuries,77.966,after event,France
injuries,1.708,before event,France
injuries,386.82,before event,Australia
injuries,15.153,after event,France
injuries,75.458,before event,France
injuries,4.646,before event,France
injuries,48.293,after event,France
injuries,51.192,after event,France
injuries,87.618,after event,Tunisia
injuries,14.997,after event,Tunisia
injuries,18.486,after event,Tunisia
injuries,221.978,after event,France
injuries,53.487,before event,Tunisia
injuries,87.934,before event,France
injuries,167.148,before event,France
injuries,70.525,after event,France
injuries,53.487,before event,Tunisia
injuries,87.934,before event,France
injuries,167.148,before event,France
injuries,70.525,after event,France
injuries,70.525,before event,France
injuries,91.398,before event,France
injuries,123.106,after event,France
injuries,34.615,after event,Tunisia
injuries,1.032,after event,Tunisia
injuries,40.398,after event,Tunisia
injuries,5.275,after event,Tunisia
injuries,9.884,after event,France
injuries,20.672,before event,Tunisia
injuries,62.949,before event,Tunisia
injuries,125.579,before event,Tunisia
injuries,138.846,before event,Tunisia
injuries,299.167,after event,Tunisia
injuries,71.266,before event,Tunisia
injuries,9.718,before event,France
injuries,13.891,before event,France
injuries,58.864,after event,England
injuries,7.1370000000000005,after event,England
injuries,108.562,after event,England
injuries,140.201,after event,France
injuries,335.514,before event,England
injuries,335.514,before event,England
injuries,240.616,before event,England
injuries,62.694,after event,England
injuries,158.515,after event,France
injuries,59.994,before event,England
injuries,88.023,before event,England
injuries,5.34,before event,England
injuries,236.893,before event,England
injuries,1.354,after event,England
injuries,59.994,before event,England
injuries,88.023,before event,England
injuries,5.34,before event,England
injuries,236.893,before event,England
injuries,1.354,after event,England
injuries,6.32,before event,France
injuries,87.936,before event,France
injuries,1.254,before event,France
injuries,152.259,before event,France
injuries,12.671,after event,France
injuries,4.912,after event,Morocco
injuries,3.492,after event,Morocco
injuries,14.816,after event,Morocco
injuries,130.948,after event,France
injuries,1.254,before event,France
injuries,152.259,before event,France
injuries,12.671,before event,France
injuries,4.912,before event,Morocco
injuries,3.492,before event,Morocco
injuries,14.816,before event,Morocco
injuries,130.948,before event,France
injuries,15.133,after event,France
injuries,94.373,after event,France
injuries,33.488,after event,France
injuries,60.59,after event,France
injuries,29.127,before event,France
injuries,36.342,before event,France
injuries,31.037,before event,France
injuries,83.664,before event,Argentina
injuries,242.977,before event,Argentina
injuries,42.899,after event,Argentina
injuries,153.697,after event,Argentina
injuries,31.037,before event,France
injuries,83.664,before event,Argentina
injuries,242.977,before event,Argentina
injuries,42.899,after event,Argentina
injuries,153.697,after event,Argentina
injuries,57.921,before event,France
injuries,36.827,before event,France
injuries,2.135,before event,France
injuries,79.657,before event,Argentina
injuries,498.005,before event,France
injuries,57.921,before event,France
injuries,36.827,before event,France
injuries,2.135,before event,France
injuries,79.657,before event,Argentina
injuries,498.005,before event,France
injuries,170.553,before event,Argentina
